0,4.19민주묘지,April 19th National Cemetery,Ui Lrt Line,943,,,37.602716,127.013512
1,가능,Ganeung,LINE 1,109,509550,1179510,37.748577,127.044213
2,가락시장,Garak Market,LINE 3,350,525992,1108579,37.492522,127.118234
2,가락시장,Garak Market,LINE 8,817,525992,1108579,37.492522,127.118234
4,가산디지털단지,Gasan Digital Complex,LINE 1,P142,473861,1105307,37.481072,126.882343
4,가산디지털단지,Gasan Digital Complex,LINE 7,746,473861,1105307,37.481072,126.882343
6,가양,Gayang,LINE 9,907,467700,1127500,37.561391,126.854456
7,가오리,Gaori,Ui Lrt Line,944,,,37.641546,127.016821
8,가재울,Gajaeul,Incheon Line2,I216,,,37.484192,126.683673
9,가정,Gajeong,Incheon Line2,I211,,,37.524649,126.675539
10,가정중앙시장,Gajeong Jungang Market,Incheon Line2,I212,,,37.517054,126.676672
11,가좌,Gajwa,Gyeongui-Jungang Line,K315,480980,1129579,37.568491,126.915487
12,가천대,Gachon Univ.,Bundang Line,K223,527950,1096310,37.448605,127.126697
13,가평,Gapyeong,Gyuongchun Line,P134,612227,1198065,37.814536,127.510739
14,간석,Ganseok,LINE 1,155,432214,1100821,37.464737,126.694181
15,간석오거리,Ganseogogeori,Incheon Line1,I123,435212,1101395,37.467048,126.707938
16,갈매,Galmae,Gyuongchun Line,P123,525127,1147615,37.634118,127.114757
17,갈산,Galsan,Incheon Line1,I117,438274,1115301,37.517268,126.721514
18,강남,Gangnam,LINE 2,222,506032,1109640,37.497175,127.027926
18,강남,Gangnam,Shinbundang Line,D7,506032,1109640,37.497175,127.027926
20,강남구청,Gangnam-gu Office,Bundang Line,K213,508965,1115207,37.517186,127.04128
20,강남구청,Gangnam-gu Office,LINE 7,730,508965,1115207,37.517186,127.04128
22,강남대,Kangnam Univ.,Yongin Everline,Y111,527800,1046600,37.270161,127.126033
23,강동,Gangdong,LINE 5,548,529040,1120490,37.535804,127.132481
24,강동구청,Gangdong-gu Office,LINE 8,812,526464,1118973,37.530341,127.120508
25,강매,Gangmae,Gyeongui-Jungang Line,K319,465720,1141779,37.612314,126.843223
26,강변,Gangbyeon,LINE 2,214,520755,1120262,37.535095,127.094681
27,강촌,Gangchon,Gyuongchun Line,P137,639467,1195735,37.805723,127.634146
28,개롱,Gaerong,LINE 5,P553,529600,1110007,37.498079,127.13482
29,개봉,Gaebong,LINE 1,143,468537,1109170,37.494594,126.85868
30,개포동,Gaepo-dong,Bundang Line,k219,514487,1107365,37.489116,127.06614
31,개화,Gaehwa,LINE 9,901,455020,1132300,37.578608,126.798153
32,개화산,Gaehwasan,LINE 5,511,457115,1130677,37.572399,126.806171
33,거여,Geoyeo,LINE 5,P554,531620,1108740,37.493105,127.14415
34,건대입구,Konkuk Univ.,LINE 2,212,515365,1121815,37.540693,127.07023
34,건대입구,Konkuk Univ.,LINE 7,727,515365,1121815,37.540693,127.07023
36,검단사거리,Geomdan Sageori,Incheon Line2,I203,,,37.60185,126.657108
37,검단오류,Geomdan Oryu,Incheon Line2,I201,,,37.594877,126.627178
38,검바위,Geombawi,Incheon Line2,I208,,,37.561405,126.677566
39,검암,Geomam,Airport Railroad Line,A07,427682,1129830,37.569104,126.673728
39,검암,Geomam,Incheon Line2,I207,427682,1129830,37.569104,126.673728
41,경기광주,GyeonggiGwangju,Gyeonggang Line,K413,,,37.399907,127.25263
42,경기도청북부청사,Gyeonggi Provincial Government Northern Office,Uijeongbu Lrt Line,U120,515700,1180050,37.75059,127.071495
43,경마공원,Seoul Racecourse Park,LINE 4,436,501607,1094842,37.443885,127.007888
44,경복궁,Gyeongbokgung,LINE 3,327,493895,1131520,37.575762,126.97353
45,경인교대입구,Gyeong-in Nat`l Univ. of Education,Incheon Line1,I115,438555,1121145,37.538157,126.722597
46,경전철의정부,Lrt Uijeongbu,Uijeongbu Lrt Line,U113,509590,1176320,37.737202,127.043257
47,경찰병원,National Police Hospital,LINE 3,351,527245,1109277,37.495918,127.12454
48,계산,Gyesan,Incheon Line1,I114,439762,1122675,37.543238,126.728128
49,계양,Gyeyang,Airport Railroad Line,A06,441522,1130440,37.571462,126.735637
49,계양,Gyeyang,Incheon Line1,I110,441522,1130440,37.571462,126.735637
51,고덕,Godeok,LINE 5,552,533850,1125845,37.555004,127.154151
52,고려대,Korea Univ.,LINE 6,640,507807,1135480,37.590508,127.036296
53,고속터미널,Express Bus Terminal,LINE 3,339,500913,1111778,37.50481,127.004943
53,고속터미널,Express Bus Terminal,LINE 7,734,500913,1111778,37.50481,127.004943
53,고속터미널,Express Bus Terminal,LINE 9,923,500913,1111778,37.50481,127.004943
56,고잔,Gojan,LINE 4,451,460565,1059785,37.316777,126.823249
57,고진,Gojin,Yongin Everline,Y121,547400,1039700,37.24484,127.214251
58,곡산,Goksan,Gyeongui-Jungang Line,K323,456120,1150979,37.645676,126.801762
59,곤제,gonjae,Uijeongbu Lrt Line,U122,518200,1179980,37.750471,127.083715
60,곤지암,Gonjiam,Gyeonggang Line,K415,,,37.351315,127.34674
61,공덕,Gongdeok,Airport Railroad Line,A02,489187,1122797,37.544018,126.951592
61,공덕,Gongdeok,Gyeongui-Jungang Line,K312,489187,1122797,37.544018,126.951592
61,공덕,Gongdeok,LINE 5,529,489187,1122797,37.544018,126.951592
61,공덕,Gongdeok,LINE 6,626,489187,1122797,37.544018,126.951592
65,공릉,Gongneung,LINE 7,716,515927,1145312,37.625742,127.072896
66,공항시장,Airport Market,LINE 9,903,458100,1128200,37.563726,126.810678
67,공항화물청사,Incheon Intl. Airport Cargo Terminal,Airport Railroad Line,A09,384282,1099430,37.458366,126.476241
68,과천,Gwacheon,LINE 4,438,499077,1091800,37.433021,126.996568
69,관악,Gwanak,LINE 1,P146,479698,1088013,37.419232,126.908706
70,광교,Gwanggyo,Shinbundang Line,D19,,,37.30211,127.044483
71,광교중앙,GwanggyoJungang,Shinbundang Line,D18,,,37.288617,127.051478
72,광나루,Gwangnaru,LINE 5,546,522710,1123015,37.545303,127.10357
73,광명,Gwangmyeong,LINE 1,P144-1,474465,1087601,37.416182,126.884466
74,광명사거리,Gwangmyeongsageori,LINE 7,748,467782,1104757,37.479252,126.854876
75,광운대,Kwangwoon Univ.,Gyuongchun Line,P116,513467,1144785,37.623632,127.061835
75,광운대,Kwangwoon Univ.,LINE 1,119,513467,1144785,37.623632,127.061835
77,광화문,Gwanghwamun,LINE 5,533,494520,1130442,37.571026,126.976669
78,광흥창,Gwangheungchang,LINE 6,624,484776,1123677,37.547456,126.931993
79,교대,Seoul Nat`l Univ. of Education,LINE 2,223,502900,1108655,37.493415,127.01408
79,교대,Seoul Nat`l Univ. of Education,LINE 3,340,502900,1108655,37.493415,127.01408
81,구로,Guro,LINE 1,141,473665,1111027,37.503039,126.881966
82,구로디지털단지,Guro Digital Complex,LINE 2,232,478070,1106435,37.485266,126.901401
83,구룡,Guryong,Bundang Line,k218,512907,1106947,37.486839,127.058856
84,구리,Guri,Gyeongui-Jungang Line,K123,531520,1139097,37.603392,127.143869
85,구반포,Gubanpo,LINE 9,921,497032,1110978,37.501364,126.987332
