0,7,1,4.19민주묘지,April 19th National Cemetery,Ui Lrt Line,943,가오리,Gaori,Ui Lrt Line,944
1,545,1,가능,Ganeung,LINE 1,109,의정부,Uijeongbu,LINE 1,110
2,47,1,가락시장,Garak Market,LINE 3,350,경찰병원,National Police Hospital,LINE 3,351
2,244,1,가락시장,Garak Market,LINE 8,817,문정,Munjeong,LINE 8,818
4,177,2,가산디지털단지,Gasan Digital Complex,LINE 1,P142,독산,Doksan,LINE 1,P143
4,630,1,가산디지털단지,Gasan Digital Complex,LINE 7,746,철산,Cheolsan,LINE 7,747
6,612,1,가양,Gayang,LINE 9,907,증미,Jeungmi,LINE 9,908
7,688,1,가오리,Gaori,Ui Lrt Line,944,화계,Hwagye,Ui Lrt Line,945
8,601,1,가재울,Gajaeul,Incheon Line2,I216,주안국가산단,Juan National Industrial Complex,Incheon Line2,I217
9,10,1,가정,Gajeong,Incheon Line2,I211,가정중앙시장,Gajeong Jungang Market,Incheon Line2,I212
10,348,1,가정중앙시장,Gajeong Jungang Market,Incheon Line2,I212,석남,Seongnam,Incheon Line2,I213
11,205,2,가좌,Gajwa,Gyeongui-Jungang Line,K315,디지털미디어시티,Digital Media City,Gyeongui-Jungang Line,K316
11,434,8,가좌,Gajwa,Gyeongui-Jungang Line,K315,신촌,Sinchon,Gyeongui-Jungang Line,P312
12,657,1,가천대,Gachon Univ.,Bundang Line,K223,태평,Taepyeong,Bundang Line,K224
13,97,5,가평,Gapyeong,Gyuongchun Line,P134,굴봉산,Gulbongsan,Gyuongchun Line,P135
14,599,1,간석,Ganseok,LINE 1,155,주안,Juan,LINE 1,156
15,565,1,간석오거리,Ganseogogeori,Incheon Line1,I123,인천시청,Incheon City Hall,Incheon Line1,I124
16,267,1,갈매,Galmae,Gyuongchun Line,P123,별내,Byeollae,Gyuongchun Line,P124
17,288,1,갈산,Galsan,Incheon Line1,I117,부평구청,Bupyeong-gu Office,Incheon Line1,I118
18,79,1,강남,Gangnam,LINE 2,222,교대,Seoul Nat`l Univ. of Education,LINE 2,223
18,460,2,강남,Gangnam,Shinbundang Line,D7,양재,Yangjae,Shinbundang Line,D8
20,359,1,강남구청,Gangnam-gu Office,Bundang Line,K213,선정릉,Seonjeongneung,Bundang Line,K214
20,669,1,강남구청,Gangnam-gu Office,LINE 7,730,학동,Hak-dong,LINE 7,731
22,614,1,강남대,Kangnam Univ.,Yongin Everline,Y111,지석,Jiseok,Yongin Everline,Y112
23,110,1,강동,Gangdong,LINE 5,548,길동,Gil-dong,LINE 5,549
23,202,1,강동,Gangdong,LINE 5,548,둔촌동,Dunchon-dong,LINE 5,P549
24,240,2,강동구청,Gangdong-gu Office,LINE 8,812,몽촌토성,Mongchontoseong,LINE 8,813
25,681,1,강매,Gangmae,Gyeongui-Jungang Line,K319,행신,Haengsin,Gyeongui-Jungang Line,K320
26,576,2,강변,Gangbyeon,LINE 2,214,잠실나루,Jamsillaru,LINE 2,215
27,113,7,강촌,Gangchon,Gyuongchun Line,P137,김유정,Gimyujeong,Gyuongchun Line,P138
